EASINID,Name,Authorship,FirstIntroductionsInEU,PresentInCountries,Status,HasImpact,IsEUConcern,EUConcernName,IsOutermostConcern,ConcernedOutermostRegions,IsMSConcern,ConcernedMS,IsPartNative,NativeRange,IsHorizonScanning,LastRevisionDate,Kingdom,Phylum,Class,Order,Family,CommonNames,Synonyms,CBD_Pathways
R00055,Acacia verticillata,(L'Her.) Willd.,,,A,TRUE,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,,,
R00056,Acaena anserinifolia,(J.R.Forst. & G.Forst.) Domin,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,,,
R00057,Acaena inermis,Hook.f.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,,,
R00058,Acaena microphylla,Hook.f.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,,,
R00059,Acaena novae-zelandiae,Kirk,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,,,
R00061,Acaena ovalifolia,Vahl,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,,,
R00064,Acalypha australis,L.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,,,
R00065,Acalypha indica,L.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,,,
R00066,Acalypha virginica,Michx.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,,,
R18764,Acalypha wilkesiana,Müll.Arg.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,,,
R00067,Acalyptris platani,"(Muller-Rutz, 1934)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Insecta,Lepidoptera,Nepticulidae,,,
R00068,Acanalonia conica,"(Say, 1830)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Hemiptera,Acanaloniidae,,,
R17484,Acantharctus posteli,"(Forest, 1963)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Malacostraca,Decapoda,Scyllaridae,,,
R16519,Acanthaster planci,"(Linnaeus, 1758)",,,A,TRUE,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,Animalia,Echinodermata,Asteroidea,Valvatida,Acanthasteridae,,,
R00070,Acanthocephalus lucii,"(Müller, 1776)",,,C,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,,,
R00072,Acanthocinus aedilis,"(Linnaeus, 1758)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,,,
R00074,Acanthocinus griseus,"(Fabricius, 1793)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,,,
R00075,Acanthocinus reticulatus,"(Razoumowsky, 1789)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,,,
R00076,Acanthocnemus nigricans,"(Hope, 1845)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Coleoptera,Acanthocnemidae,,,
R17971,Acanthococcus agropyri,"Kosztarab & Kozár, 1978",,,C,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Insecta,Hemiptera,Eriococcidae,,,
R17970,Acanthococcus micracanthus,"Danzig, 1975",,,C,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Insecta,Hemiptera,Eriococcidae,,,
R19555,Acanthoderes jaspidea,"Di Iorio, 2004",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,,,
R00079,Acantholyda erythrocephala,(Linnaeus),,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Insecta,Hymenoptera,Pamphiliidae,,,
R00080,Acantholyda laricis,"(Giraud, 1861)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Insecta,Hymenoptera,Pamphiliidae,,,
R18239,Acanthopagrus bifasciatus,"(Forsskål, 1775)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,,,
R00082,Acanthophora nayadiformis,"(Delile) Papenf., 1968",,,C,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,,,
R00083,Acanthophora spicifera,(M.Vahl) Børgesen,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,,,
R16520,Acanthopleura gemmata,"(Blainville, 1825)",,,Q,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Mollusca,Polyplacophora,Chitonida,Chitonidae,,,
R00085,Acanthoscelides obtectus,"(Say, 1831)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,,,
R00086,Acanthoscelides pallidipennis,"(Motschulsky, 1874)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,,,
R00087,Acanthoscurria geniculata,"(C.L.Koch, 1841)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Arachnida,Araneae,Theraphosidae,,,
R20258,Acanthosiphonia echinata ,,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpaceae,,,
R00088,Acanthospermum hispidum,DC.,,,A,TRUE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,,
R00089,Acanthospermum humile,(Sw.) DC.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,,
R19907,Acanthostyles buniifolius,(Hook. ex Hook. & Arn.) R.M.King & H.Rob.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,,
R00090,Acanthoxyla geisovii,"(Kaup, 1866)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Phasmatodea,Phasmatidae,,,
R00091,Acanthoxyla inermis,"Salmon, 1955",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Phasmatodea,Phasmatidae,,,
R19333,Acanthurus chirurgus,"(Bloch, 1787)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,,,
R19118,Acanthurus coeruleus,"Bloch & Schneider, 1801",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,,,
R00094,Acanthurus monroviae,"Steindachner, 1876",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Chordata,Teleostei,Acanthuriformes ,Acanthuridae ,,,
R19653,Acanthurus sohal,"(Forsskål, 1775)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,,,
R00095,Acanthus mollis,L.,,,A,TRUE,FALSE,,TRUE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Scrophulariales,Acanthaceae,,,
R00096,Acanthus spinosus,L.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Scrophulariales,Acanthaceae,,,
R00097,Acaphylla theae,"(Watt, 1898)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,,,
R00099,Acar plicata,"(Dillwyn, 1817)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,,,
R16886,Acaricalus hederae,"(Keifer, 1939)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,,,
R16521,Acartia (Acanthacartia) fossae,"Gurney, 1927",,,Q,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,,,
R00102,Acartia (Acartiura) omorii,"Bradford, 1976",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,,,
R16354,Acartia (Odontacartia) centrura,"Giesbrecht, 1889",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,,,
R00104,Acartia tonsa,"Dana, 1849",,,C,TRUE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,,,
R00105,Acaudaleyrodes rachiphora,"(Singh, 1931) ",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Hemiptera,Aleyrodidae,,,
R18906,Acca sellowiana,(O.Berg) Burret,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,,,
R19728,Accipiter gentilis,"(Linnaeus, 1758)",,,C,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,,,
R00107,Accipiter nisus,"(Linnaeus, 1758)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Chordata,Aves,Ciconiiformes,Accipitridae,,,
