EASINID,Name,Authorship,FirstIntroductionsInEU,PresentInCountries,Status,HasImpact,IsEUConcern,EUConcernName,IsOutermostConcern,ConcernedOutermostRegions,IsMSConcern,ConcernedMS,IsPartNative,NativeRange,IsHorizonScanning,LastRevisionDate,Kingdom,Phylum,Class,Order,Family,CommonNames,Synonyms,CBD_Pathways
R00246,Actinocleidus recurvatus,"Mizelle & Donahue, 1944",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Platyhelminthes,Trematoda,Monopisthocotylea,Dactylogyridae,,,
R00247,Actinocyclus normanii,(W.Greg.) Hust.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscales,Hemidiscaceae,,,
R00248,Actinopteryx fucicola,"(Allibert, 1844)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Insecta,Coleoptera,Ptiliidae,,,
R00250,Actumnus globulus,"Heller, 1861",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Malacostraca,Decapoda,Pilumnidae,,,
R00251,Aculops allotrichus,"(Nalepa, 1894)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,,,
R00252,Aculops fuchsiae,"Keifer, 1972",,,A,TRUE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,,,
R16900,Aculops gleditsiae,"(Keifer, 1959)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,,,
R00253,Aculops lycopersici,"(Massee, 1937)",,,Q,TRUE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,,,
R00254,Aculops pelekassi,"(Keifer), 1959",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,,,
R16901,Aculops rhodensis,"(Keifer, 1957)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,,,
R16902,Aculus hippocastani,"(Fockeu, 1890)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,,,
R16903,Aculus ligustri,"(Keifer, 1938)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,,,
R00255,Acyrthosiphon auriculae,"Martin & J.H., 1981",,,C,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,,,
R00256,Acyrthosiphon caraganae,"(Cholodkovsky, 1907)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,,,
R00257,Acyrthosiphon ignotum,"Mordvilko, 1914",,,C,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,,,
R00258,Acyrthosiphon kondoi,"Shinji, 1938",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,,,
R17982,Acyrthosiphon malvae,"(Mosley, 1841)",,,C,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,,,
R00260,Acyrthosiphon pisum,"(M.Harris, 1776)",,,C,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,,,
R00261,Acyrthosiphon primulae,"(Theobald, 1913)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,,,
R16904,Adelencyrtus aulacaspidis,"(Brèthes, 1914)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Hymenoptera,Encyrtidae,,,
R00267,Adelges laricis,"Vallot, 1836",,,C,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Insecta,Hemiptera,Adelgidae,,,
R17965,Adelges tsugae,"Annand, 1924",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Hemiptera,Adelgidae,,,
R19068,Adelosina carinatastriata,"(Wiesner, 1923)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Chromista,Foraminifera,Polythalamea,Miliolida,Hauerinidae,,,
R18489,Adenocaulon himalaicum,Edgew.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,,
R00276,Adenostyles alliariae,(Gouan) A.Kern.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,,
R00277,Adiantum capillus-veneris,L.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,,,
R00278,Adiantum diaphanum,Blume,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,,,
R00279,Adiantum hispidulum,Sw.,,,A,TRUE,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,,,
R00280,Adiantum raddianum,C.Presl,,,A,TRUE,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,,,
R00281,Adistemia watsoni,"(Wollaston, 1871)",,,C,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Coleoptera,Latridiidae,,,
R00283,Adonis aestivalis subsp. aestivalis,,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,,,
R00284,Adonis annua,L.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,,,
R00285,Adonis flammea,Jacq.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,,,
R00286,Adonis microcarpa,DC.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,,,
R00287,Adota maritima,"(Mannerheim, 1843)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,,,
R00289,Adoxophyes orana,"(Fischer v.Roslerstamm, 1834)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,,,
R17713,Aedes albopictus,"Skuse, 1894",,,A,TRUE,FALSE,,TRUE,,TRUE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,,,
R16906,Aedes cinereus,"Wiedemann, 1818",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,,,
R16907,Aedes japonicus,"(Theobald, 1901)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,,,
R17656,Aedes koreicus,"(Edwards, 1917)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,,,
R00294,Aedes vexans,"(Meigen, 1830)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,,,
R00299,aegilops caudata,L.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Cyperales,Poaceae,,,
R00295,Aegilops columnaris,Zhuk.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Cyperales,Poaceae,,,
R00296,Aegilops cylindrica,Host,,,A,TRUE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Cyperales,Poaceae,,,
R00297,Aegilops geniculata,Roth,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Cyperales,Poaceae,,,
R00298,Aegilops juvenalis,(Thell.) Eig,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Cyperales,Poaceae,,,
R00300,Aegilops neglecta,Req. ex Bertol.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Cyperales,Poaceae,,,
R00301,Aegilops speltoides,Tausch,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Cyperales,Poaceae,,,
R00302,Aegilops tauschii,Coss.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Cyperales,Poaceae,,,
R00303,Aegilops triuncialis,L.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Cyperales,Poaceae,,,
R00304,Aegilops ventricosa,Tausch,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Cyperales,Poaceae,,,
R00305,Aegopinella nitens,"(Michaud, 1831)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Mollusca,Gastropoda,Stylommatophora,Zonitidae,,,
R00306,Aegopinella nitidula,"(Draparnaud, 1805)",,,A,TRUE,FALSE,,TRUE,,FALSE,,TRUE,,FALSE,,Animalia,Mollusca,Gastropoda,Stylommatophora,Zonitidae,,,
R00307,Aegopinella pura,"(Alder, 1830)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Mollusca,Gastropoda,Stylommatophora,Zonitidae,,,
R00308,Aegopis verticillus,"(Lamarck, 1822)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Mollusca,Gastropoda,Stylommatophora,Zonitidae,,,
R00309,Aegopodium podagraria,L.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,,,
R19745,Aegypius monachus,"(Linnaeus, 1766)",,,C,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,,,
R00312,Aeluropus littoralis,(Gouan) Parl.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Cyperales,Poaceae,,,
R16908,Aenasius flandersi,"Kerrich, 1967",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Hymenoptera,Encyrtidae,,,
R20137,Aeolesthes sarta,"(Solsky, 1871)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,,,
R00315,Aeolosoma headleyi,"Beddard, 1888",,,Q,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Annelida,Polychaeta,Scolecida,Aeolosomatidae,,,
R00317,Aeolothrips collaris,"Priesner, 1919",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Insecta,Thysanoptera,Aeolothripidae,,,
R00318,Aeolothrips fasciatus,"(Linnaeus, 1758)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Insecta,Thysanoptera,Aeolothripidae,,,
R00322,Aeolothrips linarius,"Priesner, 1948",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Thysanoptera,Aeolothripidae,,,
R00325,Aeolothrips tenuicornis,"Bagnall, 1926",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Insecta,Thysanoptera,Aeolothripidae,,,
R00327,Aeolothrips wittmeri,"Priesner, 1935",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Thysanoptera,Aeolothripidae,,,
R00328,Aeonium arboreum,Webb & Berthel.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Crassulaceae,,,
R00329,Aeonium cuneatum,Webb & Berthel.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Crassulaceae,,,
R00330,Aeonium decorum,Webb ex Bolle,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Crassulaceae,,,
R00331,Aeonium glutinosum,(Aiton) Webb & Berthel.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Crassulaceae,,,
R00332,Aeonium haworthii,Webb & Berthel.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Crassulaceae,,,
R00333,Aeonium simsii,(Sweet) Stearn,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Crassulaceae,,,
R16522,Aequorea conica,"Browne, 1905",,,C,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,,,
R17473,Aequorea globosa,"Eschscholtz, 1829",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,,,
R19307,Aequorea macrodactyla,"(Brandt, 1835)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,,,
R19668,Aequorea vitrina,"Gosse, 1853",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,,,
R00334,Aerococcus viridans,"Williams et al., 1953",,,C,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,,,
R00336,Aeromonas salmonicida subsp. salmonicida,,,,C,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,,,
R00337,Aeschynomene americana,L.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,,,
R00338,Aeschynomene indica,L.,,,A,TRUE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,,,
R00340,Aesculus flava,Sol.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Hippocastanaceae,,,
R00341,Aesculus hippocastanum,L.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Hippocastanaceae,,,
R00342,Aesculus indica,(Wall. ex Cambess.) Hook.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Hippocastanaceae,,,
R00343,Aesculus parviflora,Walter,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Hippocastanaceae,,,
R00344,Aesculus pavia,L.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Hippocastanaceae,,,
R18866,Aesculus x carnea,Hayne,,,Q,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Hippocastanaceae,,,
R00350,Aetheorhiza bulbosa,(L.) Cass.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,,
R00351,Aethina tumida,"Murray, 1867",,,A,TRUE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Coleoptera,Nitidulidae,,,
R00355,Aethusa cynapium subsp. cynapium,,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,,,
R18278,Aethusa cynapium subsp. elata,Hoffm. ex Schübl. & G.Martens,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,,,
R16523,Aeverrillia setigera,"(Hincks, 1887)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Bryozoa,Gymnolaemata,Ctenostomatida,Aeverrilliidae,,,
R20197,African swine fever virus,,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Varidnaviria,Nucleocytoviricota,Pokkesviricetes,Asfuvirales,Asfarviridae,,,
R00359,Afrocardium richardi,"(Audouin, 1826)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Mollusca,Bivalvia,Veneroida,Cardiidae,,,
R19133,Afropunctum seminium,"(Morelet, 1873)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Mollusca,Gastropoda,Stylommatophora,Euconulidae,,,
R00360,Agabiformius lentus,"(Budde-Lund, 1885)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Malacostraca,Isopoda,Porcellionidae,,,
R00361,Agama agama,"(Linnaeus, 1758)",,,Q,TRUE,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,Animalia,Chordata,Reptilia,Squamata,Agamidae,,,
R00362,Agama planiceps,"Peters, 1862",,,Q,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Chordata,Reptilia,Squamata,Agamidae,,,
R16909,Aganaspis daci,"(Weld, 1951)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Hymenoptera,Figitidae,,,
R00363,Agapanthus praecox,Willd.,,,A,TRUE,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Amaryllidaceae,,,
R00364,Agapornis canus,"(Gmelin, 1788)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,,,
R00365,Agapornis fischeri,"Reichenow, 1887",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,,,
R00366,Agapornis lilianae,"Shelley, 1894",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,,,
R00367,Agapornis personatus,"Reichenow, 1887",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,,,
R19776,Agapornis pullarius,"(Linnaeus, 1758)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,,,
R00369,Agapornis roseicollis,"(Vieillot, 1818)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,,,
R00371,Agardhiella subulata,(C.Agardh) Kraft & M.J.Wynne,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Areschougiaceae,,,
R00376,Agassiziella angulipennis,"Hampson, 1891",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,,,
R00377,Agastache foeniculum,(Pursh) Kuntze,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,,,
R00378,Agastache urticifolia,(Benth.) Kuntze,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,,,
R18867,Agathis macrophylla,(Lindl.) Mast.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Pinopsida,Pinales,Araucariaceae,,,
R00380,Agathomyia wankowiczii,"(Schnabl, 1884)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Insecta,Diptera,Tachinidae,,,
R00381,Agave americana,L.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,,,
R00382,Agave americana subsp. americana,,,,A,TRUE,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,,,
R00384,Agave atrovirens,Karw. ex Salm-Dyck,,,A,TRUE,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,,,
R00385,Agave attenuata,Salm-Dyck,,,A,TRUE,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,,,
R00387,Agave fourcroydes,Lem.,,,A,TRUE,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,,,
R00388,Agave salmiana var. ferox,(K.Koch) Gentry,,,A,TRUE,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,,,
R00389,Agave sisalana,Perrine,,,A,TRUE,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,,,
R18779,Agave vivipara,L.,,,A,TRUE,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,,,
R00390,Agdistis adactyla,"(Hubner, 1819)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoridae,,,
R19733,Agelaius phoeniceus,"(Linnaeus, 1766)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Chordata,Aves,Passeriformes,Icteridae,,,
R00392,Ageniaspis citricola,"Logvinovskaya, 1983",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Hymenoptera,Encyrtidae,,,
R00393,Ageniaspis fuscicollis,"(Dalman, 1820)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Insecta,Hymenoptera,Encyrtidae,,,
R00394,Ageratina adenophora,(Spreng.) R.M.King & H.Rob.,,,A,TRUE,FALSE,,TRUE,,TRUE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,,
R00395,Ageratina altissima,(L.) R.M.King & H.Rob.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,,
R00396,Ageratina riparia,(Regel) R.M.King & H.Rob.,,,A,TRUE,FALSE,,TRUE,,TRUE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,,
R00398,Ageratum houstonianum,Mill.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,,
R16525,Agglutinella compressa,"El-Nakhal, 1983",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Chromista,Foraminifera,Polythalamea,Miliolida,Hauerinidae,,,
R16526,Agglutinella robusta,"El-Nakhal, 1983",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Chromista,Foraminifera,Polythalamea,Miliolida,Hauerinidae,,,
R00399,Aglaospora profusa,"(Fr.) De Not., 1844",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Fungi,Ascomycota,Eurotiomycetes,Pyrenulales,Massariaceae,,,
R00400,Aglaothamnion feldmanniae,"Halos, 1965",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Callithamniaceae,,,
R00401,Aglaothamnion halliae,"(F.S.Collins) N.E.Aponte, D.L.Ballantine & J.N.Norris",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Callithamniaceae,,,
R00402,Aglenus brunneus,"(Gyllenhal, 1813)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Coleoptera,Salpingidae,,,
R00403,Aglossa caprealis,"(Hubner, 1809)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,,,
R00404,Aglossa pinguinalis,"(Linnaeus, 1758)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,,,
R00405,Aglyptinus agathidioides,"Blair, 1930",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Coleoptera,Leiodidae,,,
R00407,Agrilus angustulus,"(Illiger, 1803)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,,,
