EASINID,Country,Year,Ref
R17567,IL,1928,"Moazzo, P.G., 1939. Mollusques testaces marins du Canal de Suez. Memoirs de l’Institut d’Egypte, 38: 1-283."
R19099,LB,2000,"Zibrowius, H. & Bitar, G., 2003. Invertebres marins exotiques sur la cote du Liban. Lebanese Science Journal 4: 67-74."
R07741,IT,1985,Jaquenoud M in Annesi T et al. Forest Pathology 33 (6): 405-412 2003
R07743,SE,1749,NOBANIS - European Network on Invasive Alien Species. 
R07744,NO,1903,NOBANIS - European Network on Invasive Alien Species. 
R07745,SE,1821,NOBANIS - European Network on Invasive Alien Species. 
R07746,IT,1929,Euro+Med PlantBase - the information resource for Euro-Mediterranean plant diversity.. 2006-
R07747,SE,1743,NOBANIS - European Network on Invasive Alien Species. 
R07748,BE,1850,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07749,EE,2003,NOBANIS - European Network on Invasive Alien Species. 
R07750,DK,1987,NOBANIS - European Network on Invasive Alien Species. 
R07751,BE,1868,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07752,UK,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07753,TR,1994,"Van Aartsen, J.J. & Recevik, M., 1998. Altre due specie indo-pacifiche rinvenute nel Mediterraneo. La Conchiglia, 30 (286): 13-15."
R07756,RU,1969,Grigorovich et al. (2003) Biological Invasions 5: 103–115
R19415,IL,2015,"Goren et al., 2017"
R07761,DK,1972,NOBANIS - European Network on Invasive Alien Species. 
R20077,TR,2016,"Onen H, Ozaslan C, Farooq S, Jones CA, 2021. Ipomoea coccinea L.(Convolvulaceae): a new introduced alien plant species in Turkey. EPPO Bulletin. Apr;51(1):207-12."
R20034,IT,2019,"Spampinato G, Laface VL, Posillipo G, Ortiz AC, Canas RQ, Musarella CM. An Updated Checklist of The Alien Flora In a Mediterranean Region of Europe: The Case of Calabria (Southern Italy)."
R07763,BE,1915,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07764,ES,1954,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07765,FR,1928,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07766,RU,1896,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07770,PT,1969,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07772,EE,1807,NOBANIS - European Network on Invasive Alien Species. 
R18307,AT,1950,NOBANIS - European Network on Invasive Alien Species. 
R07773,ES,1799,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07774,RO,1997,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07776,BE,1993,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R19034,BE,1997,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07783,ES,2002,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07784,TR,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07785,NO,1996,NOBANIS - European Network on Invasive Alien Species. 
R07787,UK,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07789,CH,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07791,DE,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07792,IT,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07793,UK,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07794,LT,1903,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07796,DE,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07798,IS,1950,"Davíðsson and Óskarsson (1950). Garðagróður. Ísafoldarprentsmiðja. Reykjavík, 450 pp (in Icelandic); Hansen (1966). Dansk Botanisk Arkiv 24, p 125-127."
R07799,DE,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07800,IT,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07801,AT,1985,NOBANIS - European Network on Invasive Alien Species. 
R07802,SE,1998,NOBANIS - European Network on Invasive Alien Species. 
R07803,UK,1928,Online Atlas of the British and Irish flora. 
R07804,UK,1836,Online Atlas of the British and Irish flora. 
R07806,PT,1898,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07807,MT,1977,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R18725,UK,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07808,IT,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07809,UK,1893,Online Atlas of the British and Irish flora. 
R07811,UK,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07814,UK,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R19931,UK,1500,DAISIE
R19867,NL,1992,"Cortês I, Livieratos IC, Derks A, Peters D, Kormelink R, 1998. Molecular and serological characterization of iris yellow spot virus, a new and distinct tospovirus species. Phytopathology 88:1276-1282"
R07816,CZ,1500,NOBANIS
R07821,FR,1954,Pellizzari & Germain (2010) BioRisk 4: 475-510
R07822,ES,1993,"Galloway et al. (1993) Deux puces nouvelles pour les Canaries (Siphonaptera, Ischnopsyllidae). Bulletin de la Société Française de Parasitologie 11: 159-162"
R07823,ES,1993,"Galloway et al. (1993) Deux puces nouvelles pour les Canaries (Siphonaptera, Ischnopsyllidae). Bulletin de la Société Française de Parasitologie 11: 159-162"
R17846,ES,2000,Sauvard et al. (2010): BioRisk 4: 219-266
R17072,ES,2000,Sauvard et al. (2010): BioRisk 4: 219-266
R07824,FR,2005,"Nentwig W, Kobelt M, 2010, Spiders (Araneae)., BioRisk, 4, 131-147"
R07825,DE,2003,"Nentwig W, Kobelt M, 2010, Spiders (Araneae)., BioRisk, 4, 131-147"
R07826,NO,1997,"Dvoretsky, A.G., Kuzmin, S.A., Matishov, G.G., 2007. the biology of the amphipod Ischyrocerus commensalis and its symbiotic relationships with the Red king crab in the Barents Sea. Dokl. Biol. Sci. 417, 453–455"
R07827,EE,1807,NOBANIS - European Network on Invasive Alien Species. 
R07828,EE,1980,http://www.nobanis.org/NationalInfo.asp?countryID=EE&taxaID=7002
R17536,IE,1970,"Minchin, D., 2007. Rapid coastal survey for targeted alien species associated with floating pontoons in Ireland. Aquatic Invasions 2(1): 63-70."
R07830,IT,1960,Rossi et al. (2003) J. Limnol. 62(1): 1-8
R07831,FR,1960,Kelner-Pillault (1962) L ’Entomologiste 18: 102-110
R20245,CY,2021,"Zenetos A, Alabno PG, López Garcia E, Stern N, Tsiamis K and Galanidi M, 2022. Established non-indigenous species increased by 40% in 11 years in the Mediterranean Sea. Mediterranean Marine Science, 23(1). https://doi.org/10.12681/mms.29106"
R19360,IL,2015,"Mienis et al., 2016"
R07832,IE,1996,"Minchin, D., 2007. A checklist of alien and cryptogenic aquatic species in Ireland. Aquatic Invasions 2(4): 341-366."
R16678,IT,2001,"Cantone, G. 2001. Polychaetous annelids new or uncommon in the Mediterranean Sea found in the Noto Gulf (south eastern Sicily). Biologia Marina Mediterranea 8(1): 107-108."
R07834,DK,1995,NOBANIS - European Network on Invasive Alien Species. 
R20253,IL,2020,"Nowaczyk A,  Carlotti F, Thibault-Botha D and Pagano M, 2011. Distribution of epipelagic metazooplankton across the Mediterranean Sea during the summer BOUM cruise.Bio-geosciences, 8 (8), 2159-2177."
R07835,IT,1968,"Bini, 1968"
R07836,DE,1972,Bogenschütz (1972) Mitteil. Badisch. Landesv. Naturkde. (N.F.) 10: 575-576
R18196,DE,1858,"CABI-Invasive Species Compendium. Datasheets, maps, images, abstracts and full text on invasive species of the world. "
R07837,TR,1955,"Holthuis, L.B. & Gottlieb, E., 1956. Two interesting crabs (Crustacea: Decapoda: Brachyura) from Mersin Bay, S.E. Turkey. Zoologische Mededelingen, Leiden, 34(21): 287-299."
R07838,UK,2001,Sauvard et al. (2010): BioRisk 4: 219-266
R07839,UK,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07841,PT,1914,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07842,PT,1951,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07846,IS,1967,"Icelandic Institute of Natural History, databases of invertebrates, Reykjavík, Iceland."
R07847,UK,1953,"Martyn K.P. (1988). Provisional Atlas of the Ticks (Ixodoidea) of the British Isles. Institute of Terrestrial Ecology, Cumbria."
R07848,DE,1954,"Coeur d'Acier A, Pérez Hidalgo N, Petrovic-Obradovic O, 2010, Aphids (Hemiptera, Aphididae)., BioRisk, 4, 435-474"
R07850,ES,2004,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R18660,NO,1992,NOBANIS - European Network on Invasive Alien Species. 
R07853,SE,1998,NOBANIS - European Network on Invasive Alien Species. 
R07854,NO,1882,NOBANIS - European Network on Invasive Alien Species. 
R07855,PT,1661,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R18665,NO,1992,NOBANIS - European Network on Invasive Alien Species. 
R07856,IS,1770,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07859,AT,1934,http://www.europe-aliens.org/speciesFactsheet.do?speciesId=53353#
R07860,RU,2004,"Orlova, M.I., Telesh, I.V., Berezina, N.A., Antsulevich, A.E., Maximov, A.A. & Litvinchuk, L.F., 2006. Effects of nonindigenous species on diversity and community functioning in the eastern Gulf of Finland (Baltic Sea). Helgol. Mar. Res., 60: 98-105."
R07861,NL,1931,"Meijere JCH (1935) Über Craneiobia lawsonianae de Meij., eine Gallmücke aus den Früchten von Chamaecyparis lawsoniana (Dipt. Itonididae).Tijdschrift voor Entomologie 78: 129–133."
R07864,AT,1942,"Mifsud D, Coquempot C, Mühlethaler R, Wilson M, Streito J-C, 2010, Other Hemiptera Sternorrhyncha (Aleyrodidae, Phylooxeroidea, and Psylloidea) and Hemiptera Auchenorrhyncha., BioRisk, 4, 511-552"
R07867,UK,1999,Biological Records Center
R07868,HU,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07869,IT,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07870,UK,1970,Online Atlas of the British and Irish flora. 
R07871,PT,2002,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07872,UK,1967,Biological Records Center
R07873,PT,2002,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R17314,NL,1990,"Stock, J.H., 1993. De marmerkreeftjes (Amphipoda: geslacht Jassa) van Nederland. Het Zeepaard 53: 10-15."
R20113,TN,2008,"Katsanevakis S, Poursanidis D, Hoffman R, Rizgalla J, Rothman SB, Levitt-Barmats YA, Hadjioannou L, Trkov D, Garmendia JM, Rizzo M, Bartolo AG, 2020. Unpublished Mediterranean records of marine alien and cryptogenic species. BioInvasions Records, https://doi.org/10.3391/bir.2020.9.2.01"
R01252,TR,2004,"Eryilmaz, L. & Dalyan, C., 2006. First record of Apogon queketti Gilchrist Osteichthyes: Apogonidae) in the Mediterranean Sea. Journal of Fish Biology, 69: 1251-1254"
R01253,IL,2007,"Golani, D., Appelbaum-Golani, B. & Gon, O., 2008. Apogon smithi (Kotthaus, 1970) (Teleostei: Apogonidae), a Red Sea cardinalfish colonizing theMediterranean Sea. Journal of Fish Biology, 72: 1534-1538."
R20242,IL,2018,"Zenetos A, Alabno PG, López Garcia E, Stern N, Tsiamis K and Galanidi M, 2022. Established non-indigenous species increased by 40% in 11 years in the Mediterranean Sea. Mediterranean Marine Science, 23(1). https://doi.org/10.12681/mms.29106"
R07875,AT,1897,NOBANIS - European Network on Invasive Alien Species. 
R07877,ES,1997,"Beardsley JW, Rasplus JY (2001) A new species of Josephiella (Hymenoptera: Agaonidae) forming leaf galls on Ficus microcarpa L. (Moraceae). Journal of Natural History 35: 33–40."
R07878,DE,1976,"Stresemann, E. Bd. 1 (1976)"
R07883,EE,1999,Euro+Med PlantBase - the information resource for Euro-Mediterranean plant diversity.. 2006-
R07884,EE,1777,NOBANIS - European Network on Invasive Alien Species. 
R07885,EE,1797,NOBANIS - European Network on Invasive Alien Species. 
R07886,AT,1885,NOBANIS - European Network on Invasive Alien Species. 
R07887,CZ,1500,NOBANIS - European Network on Invasive Alien Species. 
R07888,GI,1986,"John Cortes, Gonhs, Email To Salit June 20/2001"
R07889,BE,1977,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07895,BE,1971,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R19932,IT,1976,Verloove F. 2011
R07898,AT,1962,NOBANIS - European Network on Invasive Alien Species. 
R07899,SE,1960,NOBANIS - European Network on Invasive Alien Species. 
R07900,BE,1984,NOBANIS - European Network on Invasive Alien Species. 
R07902,PT,1969,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07903,BE,1911,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07904,NO,1934,NOBANIS - European Network on Invasive Alien Species. 
R07906,BE,1893,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07907,UK,1944,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07908,IE,1971,Online Atlas of the British and Irish flora. 
R07909,PT,1985,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07910,BE,1916,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07911,SE,1662,NOBANIS - European Network on Invasive Alien Species. 
R07913,BE,1921,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07914,UK,1957,Online Atlas of the British and Irish flora. 
R07915,UK,1790,Online Atlas of the British and Irish flora. 
R07916,DE,2005,NOBANIS - European Network on Invasive Alien Species. 
R07917,NO,1983,NOBANIS - European Network on Invasive Alien Species. 
R07918,SE,2000,Euro+Med PlantBase - the information resource for Euro-Mediterranean plant diversity.. 2006-
R07919,IT,1984,Euro+Med PlantBase - the information resource for Euro-Mediterranean plant diversity.. 2006-
R07921,CY,1878,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07924,FR,1971,"Cassini R, 1973. Possibilities of control. ibid., No.1:4"
R18064,SE,1981,"Pettersson M-L., Åkesson I. (1998) Växtskydd i Trädgård, Natur och Kultur/LTs Förlag, pp 82, 230, 273-274"
R07925,DE,1964,Morelet Bull Mens Soc Linn Lyon 39(6)213-216
R07926,IT,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R20035,IT,2021,"Spampinato G, Laface VL, Posillipo G, Ortiz AC, Canas RQ, Musarella CM. An Updated Checklist of The Alien Flora In a Mediterranean Region of Europe: The Case of Calabria (Southern Italy)."
R20204,ES,1900,"Guillot Ortiz D., Laguns Lumbreras E., López-Pujol J., Sáez L. & Puche C. (2014). Kalanchoe x houghtonii 'Garbí'. Bouteloua 19:99-128."
R19166,UK,2014,Naggs et al. (2014) An illustrated guide to the land snails of the British Isles
R07935,UK,1736,Online Atlas of the British and Irish flora. 
R07936,UK,1734,Online Atlas of the British and Irish flora. 
R07937,UK,1767,Online Atlas of the British and Irish flora. 
R07938,PT,2005,"Borges PAV, Myles T (2007) Térmitas dos Açores. Resultados do workshop ‘‘Medidas para gestão e combate das termitas nos Açores"" Principia, Portugal. 125 pp"
R07939,UK,1976,Harris (1976) A check list of British insects. Diptera and Siphonaptera. Royal Entomological Society: 32–42.
R16681,LB,1988,"Goy, J., Lakkis, S. & Zeidane, R., 1988. Les Meduses de la Mediterranee, Rapports et Proces-Verbaux des Reunions de la Commission Internationale pour l'Exploration Scientifique de la Mer Mediterranee, Monaco., 31(2): 299."
R17315,FR,2009,Nezan in 2010 French review
R07941,DE,1966,"Braarud, T. & Heimdal, B., 1970. Brown water on the Norwegian coast in autumn 1966. Nytt. Mag. Bot., 17, 91-97./Hickel, W., Hagmeir, E., and Drebes, G. ,1971. Gymnodinium blooms in the Helgoland Bight (North Sae) during August 1968 Helgolander Wiss Meeresuntern. 22, 401-416."
R17316,FR,1994,"Nezan, E., 1998. Recurrent observations of a Gymnodinium brevelike species. Harmful Algae News, IOC, UNESCO 17: 7."
R17317,FR,2008,"Blanchard, M., Goulletquer, P., Hamon, D., Le Mao, P., Nézan, E., Gentil, F., Simon, V., Viard, F., Ar Gall, E., Grall, J., Hily, C., Le Duff, M. & Stiger‐Pouvreau, V., 2010. Liste des espèces marines introduites dans les eaux bretonnes et des espèces introduites envahissantes des eaux périphériques, http://archimer.ifremer.fr/doc/00026/13737/10865.pdf"
R07942,NO,2001,"De Salas, M.F., Bolch, C.J.S. & Hallegraeff, G.M., 2005. Karlodinium australe sp. nov. (Gymnodiniales, Dinophyceae), a new potentially ichthyotoxic unarmoured dinoflagellate from lagoonal habitats of south-eastern Australia. Phycologia 44: 640-650."
R07943,ES,1974,Berzosa (1988) Bol. Asoc. Espanola Entomol. 12: 137-141.
R07944,AL,1919,Reynaud (2010) BioRisk 4: 767–791.
R07945,DK,1911,Reynaud (2010) BioRisk 4: 767–791.
R07947,UA,1960,http://www.europe-aliens.org/speciesFactsheet.do?speciesId=53693#
R17753,IT,2008,"Sannino L & Espinosa B (2009) Keiferia lycopersicella, una nuova tignola su pomodoro. L'Informatore Agrario no. 4, 69-70."
R07949,SE,1943,Eloranta (1988) Ann Zool Fennici 25: 249-252
R07953,UK,1965,Online Atlas of the British and Irish flora. 
R17967,GE,1962,RU-ANIMALS_DB
R20112,IT,2010,"Scholz T, Binh TT, Sayyaf Dezfuli B. Khawia japonensis (Cestoda: Caryophyllidea): another invasive parasite of carp, Cyprinus carpio L., imported to Europe.
"
R07955,PL,1973,http://www.nobanis.org/speciesInfo.asp?taxaID=768
R07956,DE,1990,"An Annotated List of Seed-Borne Diseases. Fourth Edition. International Seed Testing Association, Zurich, 387+ pages"
R07957,PT,1993,Euro+Med PlantBase - the information resource for Euro-Mediterranean plant diversity.. 2006-
R07961,CZ,1934,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07962,CZ,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07963,FR,1986,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07965,HR,2000,Euro+Med PlantBase - the information resource for Euro-Mediterranean plant diversity.. 2006-
R07966,UK,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07967,PT,2002,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07969,AT,1750,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07970,AT,1880,NOBANIS - European Network on Invasive Alien Species. 
R07971,ES,1993,Euro+Med PlantBase - the information resource for Euro-Mediterranean plant diversity.. 2006-
R07975,FR,1986,"Leclant F & Remaudière G, 1986, Aphids new to France and Europe. , Aphidologist’s Newsletter, 21, 8"
R07976,SE,1700,NOBANIS - European Network on Invasive Alien Species. 
R07979,DK,1987,NOBANIS - European Network on Invasive Alien Species. 
R07980,HU,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R07981,DK,1983,NOBANIS - European Network on Invasive Alien Species. 
R07992,SE,1835,NOBANIS - European Network on Invasive Alien Species. 
R07993,SE,1842,NOBANIS - European Network on Invasive Alien Species. 
R07994,AT,1930,NOBANIS - European Network on Invasive Alien Species. 
R11145,AT,1885,"Webb DA, Charter (1964) Polygonum, In. T.G. Tutin VH Heywood, NA Burges, DH Valentine, SM Walters and DA Wedd, eds. Flora Europaea, Vol. 1, University Press, Cambridge. Pp. 76-90."
R17498,FR,1970,"Goulletquer, P., Bachelet, G., Sauriau, P.G. & Noel, P., 2002. Open Atlantic coast of Europe a century of introduced species into French waters. In: Leppäkoski E, Gollasch S, Olenin S (eds) Invasive aquatic species of Europe: distribution, impacts and management. Kluwer, Dordrecht, pp 276-290."
R07995,NO,1995,NOBANIS - European Network on Invasive Alien Species. 
R19507,UK,1978,Sluys (2016)
R19361,NO,1997,"Rueness, 1997"
R08000,NO,1994,"Andersson G., Meidell B.A., Scheller U., Winqvist J.A., Osterkamo Madsen M., Djursvoll P., Budd G. and Gärdenförs U. (2005). Nationalnyckeln till Sveriges flora och fauna. Mångfotingar. Myriapoda. ArtDatabanken, SLU, Uppsala"
R08001,DE,1887,Flora von Wuerttemberg Schoerzingen F. L. Sautermeister (see USDA ARS BPI 141496 )
R18008,RU,1900,RU-ANIMALS_DB
R08006,IT,1900,Pellizzari & Germain (2010) BioRisk 4: 475-510
R08008,FR,1997,"Mifsud D, Coquempot C, Mühlethaler R, Wilson M, Streito J-C, 2010, Other Hemiptera Sternorrhyncha (Aleyrodidae, Phylooxeroidea, and Psylloidea) and Hemiptera Auchenorrhyncha., BioRisk, 4, 511-552"
R08009,IT,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R08010,IT,1501,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R19362,IT,2009,"Orsi Relini et al., 2010"
R08011,NL,2003,"Koster J.C. & Sinev S Yu. (2003). Momphidae, Batrachedridae, Stathmopodidae, Agonoxenidae, Cosmopterigidae, Chrysopeleiidae. In: P. Huemer, O. Karsholt, L. Lyneborg (Hrsg.): Microlepidoptera of Europe. 1. Auflage. Band 5, Apollo Books, Stenstrup."
R16684,LB,1970,"Lakkis, S., 1984. On the presence of some rare copepods in the Levantine basin. Crustaceana Suppl.7 Studies on Copepoda II."
R16685,LB,1970,"Lakkis, S., 1976. Considerations on the distribution of pelagic copepods in the eastern Mediterranean off the coast of Lebanon. Acta Adriatica 18: 41–52."
R16686,LB,1970,"Lakkis, S., 1976. Considerations on the distribution of pelagic copepods in the eastern Mediterranean off the coast of Lebanon. Acta Adriatica 18: 41–52."
R16687,LB,1972,"Lakkis, S., 1984. On the presence of some rare copepods in the Levantine basin. Crustaceana Suppl.7 Studies on Copepoda II."
R16688,LB,1970,"Lakkis, S., 1984. On the presence of some rare copepods in the Levantine basin. Crustaceana Suppl.7 Studies on Copepoda II."
R08015,PT,2002,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R08016,UK,1908,Online Atlas of the British and Irish flora. 
R08018,DE,1501,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R08017,UK,1970,Online Atlas of the British and Irish flora. 
R08020,IE,1926,"Renouf, L.P.W., 1939. Colpomenia sinuosa (Mert) Derb et Sol., and Zostera disease on the coasts of Ireland. Irish Naturalists’ Journal 7: 272."
R08021,FR,1966,"Malençon, Bull. Trimestriel Soc. Mycol. France 82: 189 (1966)"
R08023,UK,1872,"Kraus F. 2009. Alien Reptiles and Amphibians. A Scientific Compendium and Analysis. Springer, Dordrecht, the Netherlands. Kraus, F., and E.W. Campbell III. 2002."
R08029,MT,1964,"Kraus F. 2009. Alien Reptiles and Amphibians. A Scientific Compendium and Analysis. Springer, Dordrecht, the Netherlands. Kraus, F., and E.W. Campbell III. 2002."
R19987,ES,2014,"Sánchez Gullón E & Verloove F, 2015. New records of interesting xenophytes in the Iberian Peninsula. V. LAZAROA 36: 43-50. 2015"
R08031,UK,1933,Lienhard C (1998) Psocoptères euro-méditerranéens Faune de France 83. Paris : Fédération Française des Sociétés de Sciences Naturelles. 517 pp.
R17075,CH,1986,Schneider (2010) BioRisk 4: 793- 805
R08032,ES,2009,"Arechavaleta, M., S. Rodríguez, N. Zurita & A. García (Coord.) 2010. Lista de especies silvestres de Canarias (hongos, plantas y animales terrestres) 2009. Gobierno de Canarias. 579 pp."
R08034,PT,1992,Schneider (2010) BioRisk 4: 793- 805
R08036,NL,1960,Fungi Neerlandici Herbario Lugduno-Batavo (see USDA ARS BPI 659297)
R08039,UK,1875,Elvellacei Britannici William Phillips 1874-1881
R08040,NO,1875,Rancken 1925
R08041,UK,1975,British Fungi Recird Details
R08044,FO,1978,"Enckell PH, Bengtson S, Wiman B, 1987, Serf and waif colonization: distribution and dispersal of invertebrate species in Faroe Island settlement areas., J. Biogeogr., 14, 89-104"
R08045,SE,1900,Nobanis (2013)
R08047,FR,1918,Lacroix (1919) Bull. Soc. Entomol. France 1919: 80-81.
R18556,UK,1980,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R18557,UK,1940,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R08049,DK,1863,NOBANIS - European Network on Invasive Alien Species. 
R18558,BE,1948,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R18645,IE,1987,Euro+Med PlantBase - the information resource for Euro-Mediterranean plant diversity.. 2006-
R08050,LT,1989,NOBANIS - European Network on Invasive Alien Species. 
R18559,UK,1917,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R08051,PL,1987,Euro+Med PlantBase - the information resource for Euro-Mediterranean plant diversity.. 2006-
R08052,EE,1807,NOBANIS - European Network on Invasive Alien Species. 
R08053,CZ,1500,NOBANIS - European Network on Invasive Alien Species. 
R08054,LV,1954,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R18644,DE,1900,NOBANIS - European Network on Invasive Alien Species. 
R08055,CZ,1872,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R08056,CZ,1955,Mrciak & Rosický (1956) Fol. Zool. 5: 143-148
R08057,NL,2000,Mayhew P.J. & Heitmans W.R.B. (2000)Life history correlates and reproductive biology of Laelius pedatus (Hymenoptera : Bethylidae) in the Netherlands. European Journal of Entomology 97: 312- 322
R17076,SE,1990,"Gordh G, Moczar L (1990) A catalog of the World Bethylidae (Hymenoptera: Aculeata). Memoirs of the American Entomological Institute 46: 1-364"
R08059,DK,1996,Nobanis (2013)
R08060,DK,1996,Nobanis (2013)
R19292,PT,1980,"Knight-Jones, P., Knight-Jones, E.W., 1995. Spirorbidae (Polychaeta) from Madeira including a new species and subgenus of Spirorbis. Mitt. Hamb. Zool. Mus. Inst. 92, 89-101."
R08062,FR,1914,"Martin P, Heughebaert A (2023). Herbarium of Namur. Université de Namur Département de Biologie. Occurrence dataset https://doi.org/10.15468/xy0eoi accessed via GBIF.org on 2024-05-31. https://www.gbif.org/occurrence/1455433874"
R08063,DK,1984,NOBANIS - European Network on Invasive Alien Species. 
R08064,PT,2002,DAISIE
R08066,EL,1930,"Sanzo, I., 1930. Giovanissimo stadio larvale di Xiphias gladius L. di mm C, 40, Mem. R. Com. Talass. Ital., 170. 8p."
R20111,TN,1966,Chakroun F (1966) Capture d'animaux rares en Tunisie. Bull. Inst. natn. scient. tech. Océanogr. Pêche Salammbô N. S. 1(2): 75–79
R08065,TR,2003,"Filiz H, Er M (2004) Akdenizin yeni misafiri (New guests in the Mediterranean Sea). Deniz Magazin (Istanbul) 68: 52–54 (in Turkish)"
R20110,EL,2016,"Kiparissis S, Peristeraki P, Tampakakis K, Kosoglou I, Doudoumis V, Batargias C, 2018. Range expansion of a restricted lessepsian: westbound expansion breakthrough of Lagocephalus spadiceus (Richardson, 1844)(Actinopterygii: Tetraodontidae). BioInvasions Record, https://doi.org/10.3391/bir.2018.7.2.13"
R08067,LB,1975,"Mouneimne, N., 1977. Liste des poissons de la cote du Liban (Mediterranee orientale). Cybium, 1: 37-66."
R08068,NO,1960,NOBANIS - European Network on Invasive Alien Species. 
R08070,IT,2001,"Andreotti A, Baccetti N, Perfetti A, Besa M, Genovesi P And Guberti V (2001). Alien Mammals And Birds In Italy: Survey, Impacts On Biodiversity And Management Guidelines. Istituto Nazionale Per La Fuana Selvatica, Ozzano Dell' Emilia (In Italian), Bologna, Italy."
R08071,DE,1989,"Geiter, O.; Homma, S.; Kinzelbach, R. 2002. Bestandsaufnahme Und Bewertung Von Neozoen In Deutschland. Texte Des Umweltbundesamtes 2002 (25), 174 + 36 + 31 + 52 P."
R19715,BE,1971,"Snow D, Perrins C, 1998. The birds of the western Palearctic (Volume 1). Oxford Uni Press, New York, USA."
R08073,DE,1880,Bestandsaufnahme Und Bewertung Von Neozoen In Deutschland (2002)
R18743,PT,2000,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R08075,UK,1640,Online Atlas of the British and Irish flora. 
R08076,BE,1954,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R08078,UK,1770,Online Atlas of the British and Irish flora. 
